post_id,title,published_at,author_id,channelTitle,category,collected_at,hashtags,views,likes,dislikes,comments,thumbnail_link,comments_disabled,ratings_disabled,caption,platform,dataset_source,is_synthetic
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,15,2022-12-24 00:00:00+00:00,test|video|trend,38609,1930,0,193,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,19,2022-12-25 00:00:00+00:00,test|video|trend,47123,2356,0,235,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,4,2022-12-26 00:00:00+00:00,test|video|trend,57514,2875,0,287,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,25,2022-12-27 00:00:00+00:00,test|video|trend,70198,3509,0,350,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,7,2022-12-28 00:00:00+00:00,test|video|trend,85678,4283,0,428,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,6,2022-12-29 00:00:00+00:00,test|video|trend,104572,5228,0,522,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,23,2022-12-30 00:00:00+00:00,test|video|trend,127633,6381,0,638,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,9,2022-12-31 00:00:00+00:00,test|video|trend,155779,7788,0,778,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,7,2023-01-01 00:00:00+00:00,test|video|trend,190132,9506,0,950,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0001,Test Video 1,2022-12-24 00:00:00+00:00,chan_1,Channel 1,4,2023-01-02 00:00:00+00:00,test|video|trend,232060,11603,0,1160,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,25,2022-12-28 00:00:00+00:00,test|video|trend,41746,2087,0,208,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,21,2022-12-29 00:00:00+00:00,test|video|trend,53962,2698,0,269,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,6,2022-12-30 00:00:00+00:00,test|video|trend,69755,3487,0,348,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,21,2022-12-31 00:00:00+00:00,test|video|trend,90169,4508,0,450,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,12,2023-01-01 00:00:00+00:00,test|video|trend,116556,5827,0,582,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,11,2023-01-02 00:00:00+00:00,test|video|trend,150667,7533,0,753,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,14,2023-01-03 00:00:00+00:00,test|video|trend,194760,9738,0,973,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,21,2023-01-04 00:00:00+00:00,test|video|trend,251756,12587,0,1258,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,13,2023-01-05 00:00:00+00:00,test|video|trend,325433,16271,0,1627,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0002,Test Video 2,2022-12-28 00:00:00+00:00,chan_2,Channel 2,17,2023-01-06 00:00:00+00:00,test|video|trend,420671,21033,0,2103,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,12,2022-12-29 00:00:00+00:00,test|video|trend,6692,334,0,33,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,13,2022-12-30 00:00:00+00:00,test|video|trend,7411,370,0,37,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,23,2022-12-31 00:00:00+00:00,test|video|trend,8207,410,0,41,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,24,2023-01-01 00:00:00+00:00,test|video|trend,9089,454,0,45,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,10,2023-01-02 00:00:00+00:00,test|video|trend,10065,503,0,50,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,6,2023-01-03 00:00:00+00:00,test|video|trend,11147,557,0,55,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,8,2023-01-04 00:00:00+00:00,test|video|trend,12345,617,0,61,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
vid_0003,Test Video 3,2022-12-29 00:00:00+00:00,chan_3,Channel 3,15,2023-01-05 00:00:00+00:00,test|video|trend,13671,683,0,68,http://example.com/thumb.jpg,False,False,Test description,youtube,youtube_trending_kaggle,False
